mrt_name,stop_id,line,longitude,latitude,town,region
MACPHERSON MRT STATION,CC10,CE,103.890287,1.326345372,GEYLANG,CENTRAL REGION
KENT RIDGE MRT STATION,CC24,CE,103.7846314,1.293462633,QUEENSTOWN,CENTRAL REGION
ONE-NORTH MRT STATION,CC23,CE,103.7874575,1.299759879,QUEENSTOWN,CENTRAL REGION
BISHAN MRT STATION,CC15,CE,103.8491544,1.35130868,BISHAN,CENTRAL REGION
STADIUM MRT STATION,CC6,CE,103.8753503,1.30284063,KALLANG,CENTRAL REGION
BUKIT BROWN MRT STATION,CC18,CE,103.8306896,1.333728882,NOVENA,CENTRAL REGION
MOUNTBATTEN MRT STATION,CC7,CE,103.8825281,1.306201905,GEYLANG,CENTRAL REGION
FARRER ROAD MRT STATION,CC20,CE,103.8075861,1.317510612,BUKIT TIMAH,CENTRAL REGION
BUONA VISTA MRT STATION,CC22,CE,103.7906534,1.306491669,QUEENSTOWN,CENTRAL REGION
NICOLL HIGHWAY MRT STATION,CC5,CE,103.863637,1.299766835,DOWNTOWN CORE,CENTRAL REGION
CALDECOTT MRT STATION,CC17,CE,103.8395298,1.337674508,TOA PAYOH,CENTRAL REGION
LABRADOR PARK MRT STATION,CC27,CE,103.8029396,1.272332732,BUKIT MERAH,CENTRAL REGION
SERANGOON MRT STATION,CC13,CE,103.8723681,1.350595256,SERANGOON,NORTH-EAST REGION
PAYA LEBAR MRT STATION,CC9,CE,103.8921788,1.317430268,GEYLANG,CENTRAL REGION
BARTLEY MRT STATION,CC12,CE,103.8797589,1.342828338,TOA PAYOH,CENTRAL REGION
DAKOTA MRT STATION,CC8,CE,103.8886626,1.308382639,GEYLANG,CENTRAL REGION
PASIR PANJANG MRT STATION,CC26,CE,103.7913503,1.276213523,QUEENSTOWN,CENTRAL REGION
MARYMOUNT MRT STATION,CC16,CE,103.8394231,1.348707263,BISHAN,CENTRAL REGION
HAW PAR VILLA MRT STATION,CC25,CE,103.7818105,1.282542157,QUEENSTOWN,CENTRAL REGION
LORONG CHUAN MRT STATION,CC14,CE,103.8641519,1.351612171,SERANGOON,NORTH-EAST REGION
TAI SENG MRT STATION,CC11,CE,103.8881949,1.335433322,TOA PAYOH,CENTRAL REGION
PROMENADE MRT STATION,CC4,CE,103.8609992,1.293218051,DOWNTOWN CORE,CENTRAL REGION
BOTANIC GARDENS MRT STATION,CC19,CE,103.8149828,1.322110193,TANGLIN,CENTRAL REGION
HOLLAND VILLAGE MRT STATION,CC21,CE,103.7961918,1.31183479,BUKIT TIMAH,CENTRAL REGION
TELOK BLANGAH MRT STATION,CC28,CE,103.8097486,1.270753211,BUKIT MERAH,CENTRAL REGION
HARBOURFRONT MRT STATION,NE1 / CC29,CE,103.8214431,1.26547264,BUKIT MERAH,CENTRAL REGION
EUNOS MRT STATION,EW7,CG,103.9032525,1.319778952,GEYLANG,CENTRAL REGION
CHINESE GARDEN MRT STATION,EW25,CG,103.7325967,1.342352821,JURONG EAST,WEST REGION
REDHILL MRT STATION,EW18,CG,103.8168167,1.289562726,BUKIT MERAH,CENTRAL REGION
PIONEER MRT STATION,EW28,CG,103.6973215,1.337586882,JURONG WEST,WEST REGION
COMMONWEALTH MRT STATION,EW20,CG,103.7983045,1.302438735,QUEENSTOWN,CENTRAL REGION
PAYA LEBAR MRT STATION,EW8,CG,103.8930604,1.318112082,GEYLANG,CENTRAL REGION
CLEMENTI MRT STATION,EW23,CG,103.7652989,1.314954492,CLEMENTI,WEST REGION
ALJUNIED MRT STATION,EW9,CG,103.882906,1.316432612,GEYLANG,CENTRAL REGION
QUEENSTOWN MRT STATION,EW19,CG,103.8058843,1.294860933,QUEENSTOWN,CENTRAL REGION
TUAS LINK MRT STATION,EW33,CG,103.6368787,1.340463766,TUAS,WEST REGION
GUL CIRCLE MRT STATION,EW30,CG,103.660553,1.319505215,PIONEER,WEST REGION
