street_name,latitude,longitude
TAMPINES AVE 8,1.3509457,103.9296761
TAMPINES ST 45,1.35791915,103.9581418
SIMEI ST 2,1.344752917,103.9552485
WOODLANDS AVE 3,1.435015006,103.7829008
LENGKONG TIGA,1.32531655,103.9111676
SERANGOON CTRL DR,1.35467435,103.8723255
BRIGHT HILL DR,1.359027522,103.8331669
SAUJANA RD,1.382654382,103.7664544
CHOA CHU KANG AVE 3,1.37691595,103.7367306
TAMPINES AVE 9,1.360304283,103.9504324
JURONG WEST ST 51,1.350450704,103.7192667
YUNG HO RD,1.326531034,103.72094
SERANGOON AVE 1,1.346796906,103.8774919
PASIR RIS ST 41,1.372397266,103.9586023
GEYLANG EAST AVE 2,1.316304902,103.8881405
CHOA CHU KANG AVE 2,1.37915205,103.7447118
KIM KEAT LINK,1.33181984,103.8548848
PASIR RIS DR 4,1.372272366,103.9605841
PASIR RIS ST 21,1.370818819,103.9620921
SENG POH RD,1.2841648,103.8320332
HOUGANG ST 51,1.38044244,103.8875506
JURONG WEST ST 72,1.346622498,103.6986974
JURONG WEST ST 71,1.3419143,103.6961271
PASIR RIS ST 52,1.374892765,103.9462318
CHOA CHU KANG AVE 4,1.377697225,103.7367868
CHOA CHU KANG LOOP,1.383691291,103.7435502
JLN TENAGA,1.3326152,103.9065292
TAMPINES CTRL 1,1.355511713,103.9443138
JURONG WEST AVE 5,1.344059099,103.6957187
TAMPINES AVE 7,1.35679503,103.9478653
CHOA CHU KANG ST 51,1.390540176,103.7440295
PASIR RIS DR 3,1.379831153,103.9414955
YISHUN CTRL 1,1.426234574,103.8376244
CHOA CHU KANG AVE 1,1.378419744,103.7485768
PASIR RIS ST 13,1.363520358,103.9610698
ELIAS RD,1.372239265,103.9398221
BISHAN ST 24,1.3575502,103.8451388
WHAMPOA RD,1.32671045,103.8554404
PASIR RIS ST 71,1.378515317,103.935376
JURONG WEST ST 74,1.34933595,103.6992388
PASIR RIS DR 1,1.370154005,103.9498781
PASIR RIS ST 72,1.38030065,103.9366007
PASIR RIS DR 10,1.379106085,103.9378747
CHOA CHU KANG ST 52,1.395594866,103.7453023
CLARENCE LANE,1.29261715,103.814073
PASIR RIS ST 53,1.373831298,103.9472138
ANG MO KIO ST 21,1.367651562,103.8356569
JLN DAMAI,1.33481682,103.9091682
CHOA CHU KANG ST 62,1.39872285,103.7473617
WOODLANDS AVE 5,1.432495282,103.8033699
WOODLANDS DR 50,1.437453657,103.7928719
CHOA CHU KANG ST 53,1.390895997,103.7474198
TAMPINES ST 72,1.35995105,103.9346666
JURONG WEST ST 75,1.348505971,103.6975981
STRATHMORE AVE,1.293994108,103.8091896
ANG MO KIO ST 31,1.366984024,103.84537
TAMPINES ST 34,1.355360864,103.9606557
YUNG AN RD,1.33809905,103.7186616
WOODLANDS AVE 4,1.441870449,103.7952427
ANG MO KIO ST 11,1.371265347,103.8384138
WOODLANDS AVE 9,1.4474974,103.796673
YUNG LOH RD,1.327559836,103.7224669
CHOA CHU KANG DR,1.38833175,103.7458696
CHOA CHU KANG ST 54,1.3927301,103.748212
REDHILL LANE,1.28667525,103.818732
KANG CHING RD,1.33947375,103.722586
TAH CHING RD,1.33712145,103.7225055
WOODLANDS DR 40,1.44203295,103.7958759
WOODLANDS DR 70,1.44060495,103.7983335
TAMPINES ST 71,1.356923698,103.9329046
WOODLANDS DR 42,1.43690085,103.7963396
JELAPANG RD,1.384903879,103.7667926
HOUGANG ST 91,1.37586515,103.8800967
WOODLANDS AVE 6,1.447292253,103.7969834
WOODLANDS CIRCLE,1.44233989,103.796633
CORPORATION DR,1.32608075,103.7227631
LOMPANG RD,1.379311744,103.7647674
CHOA CHU KANG ST 64,1.3969203,103.7501506
JLN TECK WHYE,1.3796478,103.758358
WOODLANDS CRES,1.444400827,103.8042518
WOODLANDS DR 60,1.447397024,103.8007178
CHANGI VILLAGE RD,1.38798225,103.9873731
HOUGANG AVE 9,1.37496085,103.8779822
JURONG WEST CTRL 1,1.341806003,103.705192
WOODLANDS RING RD,1.437234234,103.8021208
CHOA CHU KANG AVE 5,1.3748745,103.7414087
TOH GUAN RD,1.33969125,103.7453
JURONG WEST ST 61,1.34135825,103.6968407
WOODLANDS DR 14,1.43380375,103.7907713
HOUGANG ST 92,1.374606153,103.881594
CHOA CHU KANG CRES,1.402116321,103.7511751
SEMBAWANG CL,1.448242881,103.8165071
CANBERRA RD,1.456820966,103.8212445
SEMBAWANG CRES,1.445467006,103.8151989
SEMBAWANG VISTA,1.4471633,103.8209589
COMPASSVALE WALK,1.389838335,103.9003325
RIVERVALE ST,1.388201321,103.9038973
WOODLANDS DR 62,1.439517178,103.8049033
SEMBAWANG DR,1.448683815,103.818647
WOODLANDS DR 53,1.432719041,103.79721
WOODLANDS DR 52,1.4342103,103.7994148
RIVERVALE WALK,1.383164804,103.9015487
COMPASSVALE LANE,1.385555326,103.8990509
RIVERVALE DR,1.386050046,103.9033301
SENJA RD,1.382843185,103.7610342
JURONG WEST ST 65,1.34130805,103.7008399
RIVERVALE CRES,1.3889249,103.9072464
COMPASSVALE DR,1.386664616,103.900622
COMPASSVALE RD,1.38683865,103.8962156
HOUGANG ST 31,1.36325225,103.8890951
JURONG WEST ST 64,1.336681401,103.7053088
WOODLANDS DR 71,1.439505707,103.8003303
YISHUN ST 20,1.436035019,103.8358916
ADMIRALTY DR,1.451287703,103.8186164
COMPASSVALE ST,1.394286297,103.9012353
BEDOK RESERVOIR VIEW,1.33755875,103.9352173
YUNG SHENG RD,1.33423345,103.7227582
ADMIRALTY LINK,1.454661793,103.8166478
SENGKANG EAST WAY,1.39531155,103.8822171
ANG MO KIO ST 32,1.363526314,103.8491093
ANG MO KIO ST 52,1.372976823,103.851192
BOON TIONG RD,1.28647055,103.8321487
JURONG WEST ST 62,1.340345871,103.7004424
ANCHORVALE LINK,1.388037119,103.8883756
CANBERRA LINK,1.44796825,103.8263997
COMPASSVALE CRES,1.3963137,103.8963883
MONTREAL DR,1.452304915,103.8243199
WELLINGTON CIRCLE,1.453121694,103.8231357
SENGKANG EAST RD,1.38269875,103.889238
JURONG WEST AVE 3,1.352190901,103.7049012
ANCHORVALE LANE,1.39183429,103.8864492
SENJA LINK,1.387771118,103.7623183
EDGEFIELD PLAINS,1.40276395,103.9104326
ANCHORVALE DR,1.390871426,103.8882715
SEGAR RD,1.389305804,103.7693986
FARRER PK RD,1.311224752,103.8505222
PUNGGOL FIELD,1.3956591,103.9109446
EDGEDALE PLAINS,1.39701385,103.9121024
ANCHORVALE RD,1.3966321,103.887679
CANTONMENT CL,1.275120452,103.8406883
JLN MEMBINA,1.282202161,103.8256441
FERNVALE LANE,1.39038725,103.8736098
JURONG WEST ST 25,1.354124875,103.7027647
CLEMENTI ST 11,1.322396163,103.7706747
PUNGGOL FIELD WALK,1.39163055,103.9129011
KLANG LANE,1.308394159,103.8522277
PUNGGOL CTRL,1.40044405,103.912493
JELEBU RD,1.3781443,103.764675
BUANGKOK CRES,1.381678235,103.8793317
JELLICOE RD,1.307925615,103.8622533
PUNGGOL DR,1.40135575,103.9141734
JURONG WEST ST 24,1.3511094,103.7050177
SEMBAWANG WAY,1.448678338,103.8168186
FERNVALE RD,1.388587398,103.8758147
BUANGKOK LINK,1.38566295,103.8846175
FERNVALE LINK,1.38989175,103.8792593
JLN TIGA,1.308518886,103.8842477
YUAN CHING RD,1.33645656,103.7251166
COMPASSVALE LINK,1.38471435,103.8953992
MARINE PARADE CTRL,1.3014091,103.9066446
COMPASSVALE BOW,1.382095625,103.8917195
PUNGGOL RD,1.40372345,103.906724
BEDOK CTRL,1.326013902,103.9350456
PUNGGOL EAST,1.39175945,103.9142259
SENGKANG CTRL,1.38489101,103.8933785
TAMPINES CTRL 7,1.357489221,103.9394944
SENGKANG WEST AVE,1.392009959,103.8815095
PUNGGOL PL,1.3942793,103.9129336
CANTONMENT RD,1.27893965,103.8398684
GHIM MOH LINK,1.3095205,103.7836092
SIMEI LANE,1.343224575,103.9581628
TELOK BLANGAH ST 31,1.272308118,103.8055565
JLN KAYU,1.3976345,103.8731175
PUNGGOL WALK,1.4068837,103.9011316
SENGKANG WEST WAY,1.39496455,103.8742605
BUANGKOK GREEN,1.3794751,103.8860341
PUNGGOL WAY,1.40734586,103.8978948
TECK WHYE CRES,1.381251835,103.7546891
MONTREAL LINK,1.45039315,103.8273251
SUMANG LINK,1.410543527,103.8999793
SENGKANG EAST AVE,1.390656902,103.8837701
YISHUN AVE 1,1.418521484,103.8469067
ANCHORVALE CRES,1.398932372,103.8926398
ANCHORVALE ST,1.3968025,103.8915606
TAMPINES CTRL 8,1.35613396,103.9402785
YISHUN ST 51,1.415969853,103.8412734
TAMPINES AVE 1,1.34921755,103.9279191
BEDOK RESERVOIR CRES,1.336128463,103.9199013
ANG MO KIO ST 61,1.379755349,103.8441424
DAWSON RD,1.29625665,103.8108486
FERNVALE ST,1.398606138,103.8776332
TAMPINES ST 86,1.354060417,103.9296931
SUMANG WALK,1.410589816,103.8976526
CHOA CHU KANG AVE 7,1.375639096,103.7464657
KEAT HONG CL,1.374420398,103.7428401
JURONG WEST CTRL 3,1.340357564,103.7057383
KEAT HONG LINK,1.3755079,103.748112
ALJUNIED AVE 2,1.3203753,103.8873367
CANBERRA CRES,1.445496574,103.8305525
SUMANG LANE,1.402711778,103.8907205
CANBERRA ST,1.444894212,103.8344565
ANG MO KIO ST 44,1.3663212,103.8584207
WOODLANDS RISE,1.447426632,103.8046327
CANBERRA WALK,1.44878795,103.8320868
ANG MO KIO ST 51,1.37203027,103.8543798
TAMPINES ST 61,1.3627436,103.9375233
YISHUN ST 43,1.425678478,103.8518912
SENGKANG WEST RD,1.39370345,103.8690822
BIDADARI PK DR,1.340842914,103.8729364
CANBERRA VIEW,1.443491741,103.8326693
ALKAFF CRES,1.337292882,103.8755434
HOUGANG ST 11,1.351198843,103.8808423
HOUGANG ST 21,1.358973218,103.8877412
TAMPINES ST 11,1.346076929,103.9457551
YISHUN ST 72,1.427843523,103.831637
YISHUN ST 71,1.427472211,103.8312236
SIMEI ST 1,1.341747091,103.9518652
TAMPINES ST 44,1.3599132,103.9539038
YISHUN ST 81,1.414741748,103.837885
SIMEI ST 4,1.341883562,103.9560723
TAMPINES ST 84,1.353066,103.9317704
WOODLANDS ST 81,1.441571547,103.7892181
WOODLANDS ST 82,1.4440436,103.7925229
TAMPINES ST 32,1.35377808,103.9605093
TAMPINES ST 33,1.352712305,103.9579157
WOODLANDS ST 83,1.440654516,103.7921952
WOODLANDS ST 31,1.43055105,103.7746816
WOODLANDS ST 41,1.427537034,103.7751722
SIMEI ST 5,1.3436809,103.9543043
WOODLANDS DR 72,1.44268465,103.8047691
WOODLANDS DR 44,1.431663282,103.7940156
WOODLANDS DR 16,1.430973211,103.7951076
WOODLANDS DR 73,1.441275604,103.8055671
CLEMENTI ST 12,1.322774149,103.7700131
WOODLANDS DR 75,1.436897,103.786216
YISHUN ST 41,1.418525123,103.8465219
YISHUN ST 31,1.432053648,103.8468209
HOUGANG ST 32,1.363491262,103.8955487
BEDOK NTH ST 3,1.3327014,103.9249534
NEW UPP CHANGI RD,1.3222155,103.9225927
BEDOK NTH RD,1.3294153,103.9239192
BEDOK NTH AVE 4,1.3327478,103.9376809
BEDOK NTH ST 2,1.3271542,103.9378138
BEDOK NTH ST 4,1.332148,103.9397453
BEDOK NTH AVE 2,1.3289198,103.9309348
BEDOK NTH AVE 3,1.3330902,103.9340407
BEDOK NTH AVE 1,1.3289852,103.9266192
BEDOK NTH ST 1,1.3276445,103.9321441
BT BATOK ST 11,1.3490036,103.7430296
BT BATOK WEST AVE 8,1.3602572,103.7432309
BT BATOK WEST AVE 6,1.3534639,103.7433512
BT BATOK ST 21,1.3468026,103.7556251
BT BATOK EAST AVE 5,1.3548936,103.7541097
BT BATOK EAST AVE 4,1.3480234,103.7567449
BT BATOK CTRL,1.3484415,103.7463789
BT BATOK ST 31,1.3591697,103.7490649
BT BATOK EAST AVE 3,1.3431504,103.7588592
JLN BT MERAH,1.282404,103.8224613
BT MERAH VIEW,1.2835091,103.8233249
BT PURMEI RD,1.2721934,103.8248687
KG BAHRU HILL,1.273138188,103.8287736
JLN BT HO SWEE,1.2871034,103.8319129
UPP CROSS ST,1.2846609,103.8444187
C'WEALTH AVE WEST,1.3247612,103.7589658
JLN PASAR BARU,1.31699655,103.8982552
LOR AH SOO,1.3520481,103.8845867
NTH BRIDGE RD,1.2973233,103.8547639
UPP BOON KENG RD,1.3141054,103.8714587
LOR LIMAU,1.324562474,103.8548923
C'WEALTH CL,1.3032507,103.7994487
C'WEALTH DR,1.3002985,103.7971505
C'WEALTH CRES,1.306857006,103.799966
LOR LEW LIAN,1.350231486,103.8772837
SERANGOON NTH AVE 1,1.366540592,103.8726123
LOR 8 TOA PAYOH,1.340051946,103.8563634
LOR 1 TOA PAYOH,1.340051698,103.8480534
LOR 5 TOA PAYOH,1.336752369,103.8526529
LOR 3 TOA PAYOH,1.338332276,103.8479649
